# HI_OFFSET:4;3;2
# SI_DISTORTION:1;1;1
# SI_ROTATION:0;0;0
X;Y;Z
4.00000000;3.00000000;3.00000000
3.93404786;2.93958243;2.99599198
4.01104745;3.12587995;2.99198397
4.09406929;2.87730327;2.98797595
3.82438083;3.03106456;2.98396794
4.16807164;3.10691342;2.97995992
3.94340990;2.78948767;2.97595190
3.89158875;3.20873926;2.97194389
4.23595509;2.91382958;2.96793587
3.75397281;2.89844355;2.96392786
4.11879330;3.25385439;2.95991984
4.08788586;2.71980603;2.95591182
3.73490185;3.15362979;2.95190381
4.31114991;3.06840543;2.94789579
3.81005410;2.72982150;2.94388778
3.95611289;3.33867382;2.93987976
4.26941708;2.77293500;2.93587174
3.63750134;2.98500954;2.93186373
4.26435040;3.26306396;2.92785571
3.98231975;2.61764827;2.92384770
3.74865333;3.30119731;2.91983968
4.39797622;2.94645286;2.91583166
3.66297028;2.76550350;2.91182365
4.09204379;3.40914389;2.90781563
4.21276309;2.62870004;2.90380762
3.58433688;3.13260787;2.89979960
4.40348987;3.18642255;2.89579158
3.82532194;2.58261571;2.89178357
3.84421833;3.43311274;2.88777555
4.41420334;2.78230633;2.88376754
3.54028412;2.87882037;2.87975952
4.26109600;3.40606426;2.87575150
4.08298798;2.51711669;2.87174349
3.60703948;3.30433071;2.86773547
4.50223853;3.04160944;2.86372745
3.65314897;2.62506420;2.85971944
4.00252428;3.51744718;2.85571142
4.35208405;2.61187872;2.85170341
3.47178044;3.04895527;2.84769539
4.42762084;3.32454897;2.84368737
3.90279715;2.46568719;2.83967936
3.70747712;3.46484812;2.83567134
4.53553287;2.85323264;2.83166333
3.50067535;2.74375484;2.82765531
4.19713433;3.53173601;2.82364729
4.21600018;2.46940093;2.81963928
3.47716996;3.24777891;2.81563126
4.55825103;3.17211476;2.81162325
3.70182955;2.49122498;2.80761523
3.87504474;3.58189486;2.80360721
4.48958360;2.65222274;2.79959920
3.39881698;2.92507572;2.79559118
4.39607138;3.46532091;2.79158317
4.02245699;2.38419072;2.78757515
3.56389603;3.44253347;2.78356713
4.62551153;2.96801717;2.77955912
3.51334249;2.59789933;2.77555110
4.08790702;3.63007430;2.77154309
4.36352830;2.47204442;2.76753507
3.37066923;3.14480754;2.76352705
4.56596233;3.32065163;2.75951904
3.79783890;2.37683551;2.75551102
3.72621939;3.60023946;2.75150301
4.61151061;2.74056599;2.74749499
3.36962019;2.77673241;2.74348697
4.31608709;3.59435665;2.73947896
4.16950426;2.34398872;2.73547094
3.42825721;3.37158063;2.73146293
4.67680045;3.11291811;2.72745491
3.57462053;2.45623819;2.72344689
3.94603129;3.69245583;2.71943888
4.51055838;2.52304212;2.71543086
3.29726924;3.00685648;2.71142285
