# HI_OFFSET:4;3;2
# SI_DISTORTION:3;2;1
# SI_ROTATION:0;0;0
X;Y;Z
4.00000000;3.00000000;3.00000000
3.80214357;2.87916487;2.99599198
4.03314234;3.25175990;2.99198397
4.28220787;2.75460654;2.98797595
3.47314248;3.06212912;2.98396794
4.50421492;3.21382684;2.97995992
3.83022971;2.57897533;2.97595190
3.67476625;3.41747853;2.97194389
4.70786528;2.82765916;2.96793587
3.26191844;2.79688711;2.96392786
4.35637991;3.50770878;2.95991984
4.26365758;2.43961206;2.95591182
3.20470556;3.30725959;2.95190381
4.93344972;3.13681087;2.94789579
3.43016229;2.45964300;2.94388778
3.86833866;3.67734765;2.93987976
4.80825125;2.54587000;2.93587174
2.91250402;2.97001908;2.93186373
4.79305120;3.52612791;2.92785571
3.94695925;2.23529654;2.92384770
3.24596000;3.60239462;2.91983968
5.19392865;2.89290573;2.91583166
2.98891085;2.53100701;2.91182365
4.27613138;3.81828777;2.90781563
4.63828927;2.25740008;2.90380762
2.75301063;3.26521575;2.89979960
5.21046960;3.37284510;2.89579158
3.47596583;2.16523142;2.89178357
3.53265498;3.86622547;2.88777555
5.24261003;2.56461266;2.88376754
2.62085237;2.75764074;2.87975952
4.78328799;3.81212853;2.87575150
4.24896394;2.03423339;2.87174349
2.82111844;3.60866143;2.86773547
5.50671558;3.08321887;2.86372745
2.95944692;2.25012841;2.85971944
4.00757284;4.03489437;2.85571142
5.05625215;2.22375744;2.85170341
2.41534131;3.09791054;2.84769539
5.28286251;3.64909794;2.84368737
3.70839146;1.93137438;2.83967936
3.12243136;3.92969623;2.83567134
5.60659861;2.70646529;2.83166333
2.50202606;2.48750967;2.82765531
4.59140300;4.06347203;2.82364729
4.64800055;1.93880186;2.81963928
2.43150987;3.49555783;2.81563126
5.67475310;3.34422952;2.81162325
3.10548864;1.98244996;2.80761523
3.62513422;4.16378972;2.80360721
5.46875080;2.30444549;2.79959920
2.19645094;2.85015144;2.79559118
5.18821415;3.93064182;2.79158317
4.06737098;1.76838145;2.78757515
2.69168808;3.88506694;2.78356713
5.87653460;2.93603435;2.77955912
